datetime,username,content,location,label
2022-06-28 21:13:28+00:00,CakNan55346530,@Mhdsanusi @Dennysiregar7 @ganjarpranowo Cebok dulu ..trus basuh muka...kali aja wan panci jadi presiden lagi,Surabaya,negative
2022-04-21 15:09:07+00:00,IDbelasting,"PKB beralasan ini dinamika demokrasi.

#PKB #Pemilu2024 #PemiluDitunda #PenundaanPemilu2024 #JazilulFawaid #Megawati
https://t.co/wKbHs6j6xw",Jakarta,neutral
2022-12-29 02:58:14+00:00,ofit_dj,"â€œTerima kasih tim Relawan Puan atas bantuan sembako dan jaringnya. Sangat membantu hasil tangkapan menjadi lebih banyak. Semoga Puan  di Pilpres 2024,â€ tutur Bhaskara, salah satu warga yang menerima bantuan dari Relawan Puan.

Puan Harapan Rakyat
https://t.co/qbUaw7h8UX",Jakarta,positive
2022-11-25 10:54:07+00:00,Jhonkosmik,"Semoga di pilpres 2024, muncul presiden baru yang bisa membawa Indonesia keluar dari era keterpurukan ini.","Semarang, Jawa Tengah",positive
2022-03-28 08:44:28+00:00,__RismaWidiono_,"Gubernur Jateng @ganjarpranowo mendukung arahan Presiden @jokowi bahwa semua pihak harus bangga produk buatan dalam negeri dalam semua aspek. Salah satunya dengan membeli produk-produk dalam negeri.

https://t.co/a5UxxpYRpi https://t.co/Rio4eFMA8j","DKI Jakarta, Indonesia",positive
2022-05-29 13:52:46+00:00,wijimoharwan,"Saran buat para ketum parpol, saya lebih sepakat kalau para tokoh elektabilitas tinggi sprti @ganjarpranowo @aniesbaswedan @ridwankamil TIDAK USAH JADIKAN CAPRES. Saya lebih setuju caprenya semua dari ketum parpol sprti @prabowo @airlangga_hrt @cakimiNOW","Bandung, Jawa Barat",neutral
2022-07-21 02:00:01+00:00,Jundi72717202,"Semoga ibu puan bisa maju di pilpres di priode selanjutnya, Mega Usung Puan lho bestiie https://t.co/hOlZNQOenb",Bogor,positive
2022-03-28 23:53:57+00:00,setyoprihandono,"@RestyCaayah @musniumar @jokowi @prabowo Buku sialan itu, buktinya sekarang apa? Dulu ada yng bilang nilai tukar dollar Rp 10000 klo jokowi jadi presiden. Nyatanya, sangit.",Surabaya,negative
2022-02-28 14:02:43+00:00,Nazarudin171,"Pilpres 2024 ditunda dgn alasan membebani rakyat atau perpanjang karpet merah?
Pilkada 2020 ditengah gawatnya pandemi aja tetap dipaksa lanjut
Jadi inget anak sama mantu","DKI Jakarta, Indonesia",neutral
2022-07-31 10:38:07+00:00,TheStromBreaxer,@DokterTifa @aniesbaswedan Ini serius suruh pakaiin jilbab anak buat menang pemilu ???  malaikat Sampek bingung ini nyatetnya,"Kota Surabaya, Jawa Timur",negative
2022-09-30 08:16:45+00:00,Karsono12732862,"@SobatMIDO @Paltiwest @ashabulcoffe @aniesbaswedan @Mdy_Asmara1701 @tatakujiyati @ekowboy2 HANYA PEMIMPIN TOLOL yg punya tujuan membangun infrastruktur.
Presiden itu membangun bangsa, membangun rakyatnya membangun negaranya. Kalau bangun infrastruktur ada uang beres, tapi membangun rakyat perlu pemimpin yg CERDAS, Bukan sederhana, merakyat dan keluyuran tanpa SOLUSI.",DKI Jakarta,negative
2022-02-24 05:11:01+00:00,WiyonoHw,"@DargiGilang @prabowo @Gerindra Kesempatan PS untuk presiden itu pemilu 2019 yang lalu. Tapi nggak mampu dan kalah strategi menghadapi masifnya kecurangan.
2024 PS berat. Hanya lembaga survey yg memenangkan PS.",Kota Yogyakarta,neutral
2022-07-31 06:02:23+00:00,fandryrigel87,"@DokterTifa @jokowi @aniesbaswedan @ridwankamil Junjungan umat islam Nabi Muhammad SAW. Tidak kepada para ulama, pejabat, apalagi capres 2024. Ikuti ulama yg tidak dekat dengan penguasa itu dalilnya ada agar kita tidak tersesat oleh ulama su'u. Cintai nabi, muliakan ulama, hormati Ortu","Tangerang, Banten",neutral
2022-12-31 17:38:05+00:00,mudin_jay,"@JarnasABWBpn siapa pun presiden nya mau @ganjarpranowo  @AgusYudhoyono @prabowo @puanmaharani_ri rakyat yg memilih,siapapun yg terpilih itulah putra putri terbaik asli anak  bangsa"",bukan putra terbaik anak keturunan Yaman @aniesbaswedan .",Malang,negative
2022-02-28 15:06:16+00:00,iyo_azza,"@alexandreanov @ganjarpranowo Yg begini mau jadi presiden??? 
Mau jadi apa rakyatnya.",Malang,negative
2022-05-31 08:42:30+00:00,Christi28566166,Yang Cerdas pasti paham inilah cerminan real yg tidak dibuat buat artinya pak @aniesbaswedan memang blom pantas utk jadi PRESIDEN RI ko banyak Anggaran kelebihan bayar terus ini artinya beliau tak mampu dan tak punya skill dalam mengelola keuangan daerah apalagi negaraðŸ¤£ðŸ‡²ðŸ‡¨ðŸ‡²ðŸ‡¨ðŸ‡²ðŸ‡¨,"Yogyakarta, Indonesia",negative
2022-12-31 00:45:16+00:00,marbun_pm,@rahmansandre Pelaku utama pilkada brutal @aniesbaswedan  kok mau jadi Presiden.,Jakarta,negative
2022-09-28 00:21:47+00:00,abdullah_yanto,"@maspiyuaja InsyaAllah semoga bisa Indonesia gelar pemilu pilpres pileg dgn JUJUR ADIL. Semua aparat2 negara netral Polri, Kemendagri, MK, KPU, Bawaslu Adil Independen. Menuju Indonesia yg lebih baik!","Bandung, Jawa Barat",positive
