datetime,locations,sentiment,labels
2022-06-28 21:13:28+00:00,surabaya,cebok trus basuh mukakali aja wan panci presiden,negative
2022-04-21 15:09:07+00:00,jakarta,pkb beralasan dinamika demokrasi,neutral
2022-12-29 02:58:14+00:00,jakarta,terima kasih tim relawan puan bantuan sembako jaringnya membantu hasil tangkapan semoga puan pilpres bhaskara salah warga menerima bantuan relawan puan puan harapan rakyat,positive
2022-11-25 10:54:07+00:00,semarang,semoga pilpres muncul presiden membawa indonesia era keterpurukan,positive
2022-03-28 08:44:28+00:00, jakarta,gubernur jateng mendukung arahan presiden bangga produk buatan negeri aspek salah satunya membeli produk produk negeri,positive
2022-05-29 13:52:46+00:00,bandung,saran ketum parpol sepakat tokoh elektabilitas sprti jadikan capres setuju caprenya ketum parpol sprti,neutral
2022-07-21 02:00:01+00:00,bogor,semoga puan maju pilpres priode mega usung puan lho bestiie,positive
2022-03-28 23:53:57+00:00,surabaya,buku sialan buktinya yng bilang nilai tukar dollar rp klo jokowi presiden sangit,negative
2022-02-28 14:02:43+00:00, jakarta,pilpres ditunda dgn alasan membebani rakyat perpanjang karpet merah pilkada ditengah gawatnya pandemi aja dipaksa inget anak mantu,neutral
2022-07-31 10:38:07+00:00, surabaya,serius suruh pakaiin jilbab anak menang pemilu malaikat sampek bingung nyatetnya,negative
2022-09-30 08:16:45+00:00, jakarta,pemimpin tolol yg tujuan membangun infrastruktur presiden membangun bangsa membangun rakyatnya membangun negaranya bangun infrastruktur uang beres membangun rakyat pemimpin yg cerdas sederhana merakyat keluyuran solusi,negative
2022-02-24 05:11:01+00:00, yogyakarta,kesempatan ps presiden pemilu nggak kalah strategi menghadapi masifnya kecurangan ps berat lembaga survey yg memenangkan ps,neutral
2022-07-31 06:02:23+00:00,tangerang,junjungan umat islam nabi muhammad saw ulama pejabat capres ikuti ulama yg penguasa dalilnya tersesat ulama suu cintai nabi muliakan ulama hormati ortu,neutral
2022-12-31 17:38:05+00:00,malang,presiden nya rakyat yg memilih yg terpilih putra putri terbaik asli anak bangsa putra terbaik anak keturunan yaman,negative
2022-02-28 15:06:16+00:00,malang,yg presiden rakyatnya,negative
2022-05-31 08:42:30+00:00,yogyakarta,cerdas paham cerminan real yg blom utk presiden ri ko anggaran kelebihan bayar beliau skill mengelola keuangan daerah negara,negative
2022-12-31 00:45:16+00:00,jakarta,pelaku utama pilkada brutal presiden,negative
