datetime,username,content,location,label,locations,sentiment,labels
2022-06-28 21:13:28+00:00,CakNan55346530,@Mhdsanusi @Dennysiregar7 @ganjarpranowo Cebok dulu ..trus basuh muka...kali aja wan panci jadi presiden lagi,surabaya,negative,surabaya,cebok trus basuh mukakali aja wan panci presiden,negative
2022-04-21 15:09:07+00:00,IDbelasting,"PKB beralasan ini dinamika demokrasi.

#PKB #Pemilu2024 #PemiluDitunda #PenundaanPemilu2024 #JazilulFawaid #Megawati
https://t.co/wKbHs6j6xw",jakarta,neutral,jakarta,pkb beralasan dinamika demokrasi,neutral
2022-12-29 02:58:14+00:00,ofit_dj,"â€œTerima kasih tim Relawan Puan atas bantuan sembako dan jaringnya. Sangat membantu hasil tangkapan menjadi lebih banyak. Semoga Puan  di Pilpres 2024,â€ tutur Bhaskara, salah satu warga yang menerima bantuan dari Relawan Puan.

Puan Harapan Rakyat
https://t.co/qbUaw7h8UX",jakarta,positive,jakarta,terima kasih tim relawan puan bantuan sembako jaringnya membantu hasil tangkapan semoga puan pilpres bhaskara salah warga menerima bantuan relawan puan puan harapan rakyat,positive
2022-11-25 10:54:07+00:00,Jhonkosmik,"Semoga di pilpres 2024, muncul presiden baru yang bisa membawa Indonesia keluar dari era keterpurukan ini.",semarang,positive,semarang,semoga pilpres muncul presiden membawa indonesia era keterpurukan,positive
2022-03-28 08:44:28+00:00,__RismaWidiono_,"Gubernur Jateng @ganjarpranowo mendukung arahan Presiden @jokowi bahwa semua pihak harus bangga produk buatan dalam negeri dalam semua aspek. Salah satunya dengan membeli produk-produk dalam negeri.

https://t.co/a5UxxpYRpi https://t.co/Rio4eFMA8j",jakarta,positive,jakarta,gubernur jateng mendukung arahan presiden bangga produk buatan negeri aspek salah satunya membeli produk produk negeri,positive
2022-05-29 13:52:46+00:00,wijimoharwan,"Saran buat para ketum parpol, saya lebih sepakat kalau para tokoh elektabilitas tinggi sprti @ganjarpranowo @aniesbaswedan @ridwankamil TIDAK USAH JADIKAN CAPRES. Saya lebih setuju caprenya semua dari ketum parpol sprti @prabowo @airlangga_hrt @cakimiNOW",bandung,neutral,bandung,saran ketum parpol sepakat tokoh elektabilitas sprti jadikan capres setuju caprenya ketum parpol sprti,neutral
2022-07-21 02:00:01+00:00,Jundi72717202,"Semoga ibu puan bisa maju di pilpres di priode selanjutnya, Mega Usung Puan lho bestiie https://t.co/hOlZNQOenb",bogor,positive,bogor,semoga puan maju pilpres priode mega usung puan lho bestiie,positive
2022-03-28 23:53:57+00:00,setyoprihandono,"@RestyCaayah @musniumar @jokowi @prabowo Buku sialan itu, buktinya sekarang apa? Dulu ada yng bilang nilai tukar dollar Rp 10000 klo jokowi jadi presiden. Nyatanya, sangit.",surabaya,negative,surabaya,buku sialan buktinya yng bilang nilai tukar dollar rp klo jokowi presiden sangit,negative
2022-02-28 14:02:43+00:00,Nazarudin171,"Pilpres 2024 ditunda dgn alasan membebani rakyat atau perpanjang karpet merah?
Pilkada 2020 ditengah gawatnya pandemi aja tetap dipaksa lanjut
Jadi inget anak sama mantu",jakarta,neutral,jakarta,pilpres ditunda dgn alasan membebani rakyat perpanjang karpet merah pilkada ditengah gawatnya pandemi aja dipaksa inget anak mantu,neutral
2022-07-31 10:38:07+00:00,TheStromBreaxer,@DokterTifa @aniesbaswedan Ini serius suruh pakaiin jilbab anak buat menang pemilu ???  malaikat Sampek bingung ini nyatetnya,surabaya,negative,surabaya,serius suruh pakaiin jilbab anak menang pemilu malaikat sampek bingung nyatetnya,negative
2022-09-30 08:16:45+00:00,Karsono12732862,"@SobatMIDO @Paltiwest @ashabulcoffe @aniesbaswedan @Mdy_Asmara1701 @tatakujiyati @ekowboy2 HANYA PEMIMPIN TOLOL yg punya tujuan membangun infrastruktur.
Presiden itu membangun bangsa, membangun rakyatnya membangun negaranya. Kalau bangun infrastruktur ada uang beres, tapi membangun rakyat perlu pemimpin yg CERDAS, Bukan sederhana, merakyat dan keluyuran tanpa SOLUSI.",jakarta,negative,jakarta,pemimpin tolol yg tujuan membangun infrastruktur presiden membangun bangsa membangun rakyatnya membangun negaranya bangun infrastruktur uang beres membangun rakyat pemimpin yg cerdas sederhana merakyat keluyuran solusi,negative
2022-02-24 05:11:01+00:00,WiyonoHw,"@DargiGilang @prabowo @Gerindra Kesempatan PS untuk presiden itu pemilu 2019 yang lalu. Tapi nggak mampu dan kalah strategi menghadapi masifnya kecurangan.
2024 PS berat. Hanya lembaga survey yg memenangkan PS.",yogyakarta,neutral,yogyakarta,kesempatan ps presiden pemilu nggak kalah strategi menghadapi masifnya kecurangan ps berat lembaga survey yg memenangkan ps,neutral
2022-07-31 06:02:23+00:00,fandryrigel87,"@DokterTifa @jokowi @aniesbaswedan @ridwankamil Junjungan umat islam Nabi Muhammad SAW. Tidak kepada para ulama, pejabat, apalagi capres 2024. Ikuti ulama yg tidak dekat dengan penguasa itu dalilnya ada agar kita tidak tersesat oleh ulama su'u. Cintai nabi, muliakan ulama, hormati Ortu",tangerang,neutral,tangerang,junjungan umat islam nabi muhammad saw ulama pejabat capres ikuti ulama yg penguasa dalilnya tersesat ulama suu cintai nabi muliakan ulama hormati ortu,neutral
2022-12-31 17:38:05+00:00,mudin_jay,"@JarnasABWBpn siapa pun presiden nya mau @ganjarpranowo  @AgusYudhoyono @prabowo @puanmaharani_ri rakyat yg memilih,siapapun yg terpilih itulah putra putri terbaik asli anak  bangsa"",bukan putra terbaik anak keturunan Yaman @aniesbaswedan .",malang,negative,malang,presiden nya rakyat yg memilih yg terpilih putra putri terbaik asli anak bangsa putra terbaik anak keturunan yaman,negative
2022-02-28 15:06:16+00:00,iyo_azza,"@alexandreanov @ganjarpranowo Yg begini mau jadi presiden??? 
Mau jadi apa rakyatnya.",malang,negative,malang,yg presiden rakyatnya,negative
2022-05-31 08:42:30+00:00,Christi28566166,Yang Cerdas pasti paham inilah cerminan real yg tidak dibuat buat artinya pak @aniesbaswedan memang blom pantas utk jadi PRESIDEN RI ko banyak Anggaran kelebihan bayar terus ini artinya beliau tak mampu dan tak punya skill dalam mengelola keuangan daerah apalagi negaraðŸ¤£ðŸ‡²ðŸ‡¨ðŸ‡²ðŸ‡¨ðŸ‡²ðŸ‡¨,yogyakarta,negative,yogyakarta,cerdas paham cerminan real yg blom utk presiden ri ko anggaran kelebihan bayar beliau skill mengelola keuangan daerah negara,negative
2022-12-31 00:45:16+00:00,marbun_pm,@rahmansandre Pelaku utama pilkada brutal @aniesbaswedan  kok mau jadi Presiden.,jakarta,negative,jakarta,pelaku utama pilkada brutal presiden,negative
