datetime,username,location,label,text_clean,text_preprocessed
2022-06-21 13:44:06+00:00,kpu_surabaya,"Surabaya, Jawa Timur",positive,segenap jajaran kpu takalar mengucapkan selamat hari ulang tahun ke bapak ir h joko widodo presiden republik indonesia  semoga sehat dan tetap amanah dalam memimpin bangsa indonesia,"['segenap', 'jajar', 'kpu', 'takalar', 'selamat', 'ulang', 'ir', 'h', 'joko', 'widodo', 'presiden', 'republik', 'indonesia', 'moga', 'sehat', 'amanah', 'pimpin', 'bangsa', 'indonesia']"
2022-06-13 13:00:16+00:00,SitiNoerhayati,Bekasi,positive,tinggal hitungan jam  tahapan pemilu  akan segera dimulai bismillah semoga selalu diberi kemudahan  kelancaran dan kesehatan dalam melaksanakan tugas kedepannyaðÿ’ªðÿ’ªðÿ’ªðÿ’ª,"['tinggal', 'hitung', 'jam', 'tahap', 'milu', 'bismillah', 'moga', 'mudah', 'lancar', 'sehat', 'laksana', 'tugas', 'depan', '', '', '', '', '', '', '', '']"
2022-06-22 04:50:59+00:00,kpukota_jakpus,"Jakarta Pusat, DKI Jakarta",positive,proses tahapan pemilu serentak  semoga koordinasi dapat berjalan dengan baik serta lancar dan pemilu serentak  berjalan dengan aman dan tentram,"['proses', 'tahap', 'milu', 'serentak', 'moga', 'koordinasi', 'jalan', 'lancar', 'milu', 'serentak', 'jalan', 'aman', 'tentram']"
2022-06-30 23:43:10+00:00,wahyudi_comal,Bandung,positive,news mantaps pak anies baswedan  semakin banyak mata terbuka dan mengapresiasi kinerja beliau semoga pak anies terus berkibar maju sebagai capres dan terpilih dlm pilpres,"['news', 'mantaps', 'anies', 'baswedan', 'mata', 'buka', 'apresiasi', 'kerja', 'beliau', 'moga', 'anies', 'kibar', 'maju', 'capres', 'pilih', 'dlm', 'pilpres']"
2022-06-29 12:22:52+00:00,aryobimmo,"Jakarta Selatan, DKI Jakarta",positive,pak  selalu didamba oleh id untuk menjadi salah satu kandidat yang ikut kontestansi pilpres sosok komplit dan diyakini tahu persis visi jokowi untuk nkri lawan debat yang berat bagi capres lain semoga banyak dukungan dan beliau berkenan untuk turun gelanggang,"['damba', 'id', 'salah', 'kandidat', 'kontestansi', 'pilpres', 'sosok', 'komplit', 'yakin', 'persis', 'visi', 'jokowi', 'nkri', 'lawan', 'debat', 'berat', 'capres', 'moga', 'dukung', 'beliau', 'kenan', 'turun', 'gelanggang']"
2022-06-29 02:19:25+00:00,jamophile,Jakarta,positive,masih dalam proses pencalonan min mohon doanya ya semoga pilpres bsk lancar jayaðÿ™ðÿ»,"['proses', 'calon', 'min', 'mohon', 'doa', 'ya', 'moga', 'pilpres', 'bsk', 'lancar', 'jaya', '']"
2022-06-28 17:53:07+00:00,Wira_Eddy_eng,Bekasi,positive,betapa hebat presiden indonesia bpk joko widodo  semoga pilpres thn  memilih presiden yg baru kemampuan spt beliau,"['betapa', 'hebat', 'presiden', 'indonesia', 'bpk', 'joko', 'widodo', 'moga', 'pilpres', 'thn', 'pilih', 'presiden', 'yg', 'mampu', 'spt', 'beliau']"
2022-06-27 09:35:21+00:00,AdiSwand2605,Tangerang,positive,dumdum  semoga pak anies diberi kelancaran di pilpres  menjadi presiden ri amiin,"['dumdum', 'moga', 'anies', 'lancar', 'pilpres', 'presiden', 'ri', 'amiin']"
2022-07-30 16:40:05+00:00,news_pantau,Bandung,positive,mantapp sangat setuju semoga terwujud dan sukses selalu bunda hj khofifah ip jadi calon pilpres   ðÿ‘ðÿ‘ðÿ™,"['mantapp', 'tuju', 'moga', 'wujud', 'sukses', 'bunda', 'hj', 'khofifah', 'ip', 'calon', 'pilpres', '', '', '', '', '']"
2022-07-30 12:20:19+00:00,insandhaif1704,Yogyakarta,positive,pasangan pilpres  yg akan membawa indonesia maju jaya makmur amp berkeadilan   satukan visi misi untuk generasi anak bangsa   semoga mendapat umur yg barakah,"['pasang', 'pilpres', 'yg', 'bawa', 'indonesia', 'maju', 'jaya', 'makmur', 'amp', 'adil', 'satu', 'visi', 'misi', 'generasi', 'anak', 'bangsa', 'moga', 'umur', 'yg', 'bara']"
2022-07-30 04:44:35+00:00,guyubrahardjo,"DKI Jakarta, Indonesia",positive,semoga bisa sama samawa dlam pilpres ðÿ˜€ðÿ˜€,"['moga', 'samawa', 'dlam', 'pilpres', '']"
2022-07-30 04:36:52+00:00,guyubrahardjo,"DKI Jakarta, Indonesia",positive,semoga tahun ini lebih baik dari tahun kemaren  sebagai tahun politik menuju pilpres dan pileg,"['moga', 'kemaren', 'politik', 'pilpres', 'pileg']"
2022-07-27 23:28:57+00:00,DenieHilman,"Depok, Jawa Barat",positive,idha masya alloh  semoga berjalan lancar dan sukses menjadi pemimpin nkri di pilpres aamiinðÿ¤²ðÿ¤²,"['idha', 'masya', 'alloh', 'moga', 'jalan', 'lancar', 'sukses', 'pimpin', 'nkri', 'pilpres', 'aamiin']"
