,datetime,sentiment,locations,labels
0,2022-06-28 21:13:28+00:00,cebok trus basuh mukakali aja wan panci presiden,surabaya,negative
1,2022-04-21 15:09:07+00:00,pkb alas dinamika demokrasi,jakarta,neutral
2,2022-12-29 02:58:14+00:00,terima kasih tim rawan puan bantu sembako jaring bantu hasil tangkap moga puan pilpres bhaskara salah warga terima bantu rawan puan puan harap rakyat,jakarta,positive
3,2022-11-25 10:54:07+00:00,moga pilpres muncul presiden bawa indonesia era puruk,semarang,positive
4,2022-03-28 08:44:28+00:00,gubernur jateng dukung arah presiden bangga produk buat negeri aspek salah satu beli produk produk negeri, jakarta,positive
5,2022-05-29 13:52:46+00:00,saran tum parpol sepakat tokoh elektabilitas sprti jadi capres tuju caprenya tum parpol sprti,bandung,neutral
6,2022-07-21 02:00:01+00:00,moga puan maju pilpres priode mega usung puan lho bestiie,bogor,positive
7,2022-03-28 23:53:57+00:00,buku sial bukti yng bilang nilai tukar dollar rp klo jokowi presiden sangit,surabaya,negative
8,2022-02-28 14:02:43+00:00,pilpres tunda dgn alas beban rakyat panjang karpet merah pilkada tengah gawat pandemi aja paksa inget anak mantu, jakarta,neutral
9,2022-07-31 10:38:07+00:00,serius suruh pakaiin jilbab anak menang milu malaikat sampek bingung nyatetnya, surabaya,negative
10,2022-09-30 08:16:45+00:00,pimpin tolol yg tuju bangun infrastruktur presiden bangun bangsa bangun rakyat bangun negara bangun infrastruktur uang beres bangun rakyat pimpin yg cerdas sederhana rakyat keluyur solusi, jakarta,negative
11,2022-02-24 05:11:01+00:00,sempat ps presiden milu nggak kalah strategi hadap masif curang ps berat lembaga survey yg menang ps, yogyakarta,neutral
12,2022-07-31 06:02:23+00:00,junjung umat islam nabi muhammad saw ulama jabat capres ikut ulama yg kuasa dalil sesat ulama suu cinta nabi mulia ulama hormat ortu,tangerang,neutral
13,2022-12-31 17:38:05+00:00,presiden nya rakyat yg pilih yg pilih putra putri baik asli anak bangsa putra baik anak turun yaman,malang,negative
14,2022-02-28 15:06:16+00:00,yg presiden rakyat,malang,negative
15,2022-05-31 08:42:30+00:00,cerdas paham cermin real yg blom utk presiden ri ko anggar lebih bayar beliau skill kelola uang daerah negara,yogyakarta,negative
16,2022-12-31 00:45:16+00:00,laku utama pilkada brutal presiden,jakarta,negative
17,2022-09-28 00:21:47+00:00,insyaallah moga indonesia gelar milu pilpres pileg dgn jujur adil aparat negara netral polri kemendagri mk kpu bawaslu adil independen indonesia yg,bandung,positive
18,2022-11-28 15:10:03+00:00,moga kabar baik yaa mari kawal ganjar pimpin menang pilpres butuh sosok pimpin ganjar,bandung,positive
19,2023-01-31 23:38:41+00:00,takdir jd presiden ri tolong orang kasih jabat,surabaya,neutral
20,2022-01-31 05:01:58+00:00,gara gara presiden,depok,positive
21,2022-02-28 02:41:24+00:00,alas situasi paksa tunda laksana pandemi covid kondisi puncak anak amp menantu jokowi pindah ibukota ri kalimantan dana anggar paksa, jakarta,neutral
22,2022-05-28 04:13:40+00:00,biar mikir biar sungguh ngurus jawa pa kalo orang gankar ngotot presiden negara termidkin dunia, jakarta,negative
23,2022-04-24 21:10:35+00:00,dukung ridwan kamil smakin moga jd sinyal positiv maju d pilpres,semarang,positive
24,2022-03-06 09:50:20+00:00,milu tunda dampak sederhana pendundaan milu kompetisi regenerasi pimpin dampak stagnasi ide dampak hambat kaderisasi partai politik,malang,neutral
25,2022-08-29 02:41:08+00:00,berat pasca pilpres presiden rakyat miskin sesuai pbi bpjs kes gt jt angka stunting perata pddkan murahamp mutu iklim tenaga kerja rumah mkn sulit kota krn property pakai sbg investasi stop tka,depok,neutral
26,2022-02-26 09:29:51+00:00,gaduh kader elite parpol turun masyarakat edukasi politik baik pilih orientasi politik gagas mudah pecah belah dekat emosional hegemoni identitas,jakarta,neutral
27,2022-06-27 09:35:21+00:00,moga anies lancar pilpres presiden ri amiin,tangerang,positive
28,2022-01-31 12:43:27+00:00,maju anies moga jakarta yg rasa pimpin indonesia dunia,bogor,positive
29,2023-01-28 08:33:38+00:00,beliau maju nih moga sukses pilpres,bandung,positive
30,2022-03-30 23:59:23+00:00,evoting terap milu,jakarta ,neutral
31,2022-10-30 02:24:11+00:00,sulit paham bahasa makhluk alien ndul heran yg ledek ndul mesti presiden ya kemarin jokowi diledekin ndul, jakarta,negative
32,2022-05-28 05:40:16+00:00,mana gubernur presiden ri,bandung,neutral
33,2022-07-29 17:17:11+00:00,presiden pilih dukung propinsi kepala negara tentu orang orang yg didik rendah hak suara yg didik hasil jokowi wkwkwk, jakarta,negative
34,2022-02-28 03:36:08+00:00,tdk laku dipasarsn pilpres tum parpol ramai sabotase milu mreka sdg dlm krisis kpercayaan publik tdk bs teladan dlm pimpin politik krn tdk figur yg bs tonjol utk panutan rakyat skrg mreka ramai doktrin rakyat utk mlawan konstitusi,yogyakarta,negative
35,2022-06-24 06:56:37+00:00,gimana undur hayo lho undur utk tambah thn jabat presidenwapres amp periode,jakarta,neutral
36,2022-04-30 02:26:48+00:00,indonesia jatuh tangan salah ikut akun twitter dukung presiden ri,tangerang,positive
37,2022-02-26 10:09:25+00:00,rezim sluman slumun slamet atur halang ubah atur aktif rewel kritis tangkap retas wajar indeks demokrasi babak bur rezim neng i dont read what i signed, jakarta,negative
38,2022-03-27 04:11:29+00:00,yg ngarepin jabat nih ganti presiden indonesia lwbih tolong kasih,jakarta,negative
39,2022-07-31 08:00:30+00:00,halo menhan malingsia dibiarin masuk laut yg dlu pas debat capres klo tahan lemah,surabaya,negative
40,2022-09-30 13:31:25+00:00,wkwkwkkwwk presiden pajang doank, jakarta,negative
41,2022-06-29 17:14:29+00:00,anies ga ngomong jd presiden lo yg klaim plagiat lo, jakarta,negative
42,2022-10-31 05:48:50+00:00,capres ecek, jakarta,negative
43,2023-01-26 09:54:23+00:00,polarisasi pilpres keras brutal perang dukung moga sadar dukung wajar,yogyakarta,positive
44,2022-11-28 18:24:37+00:00,bismillah ya allah panjat doa mohon pada saudara dpt duet maju pilpres dpt menang pilpres pilwapres smga allah jalan beliau dua pimpin bangsa indonesia amin,surabaya,positive
45,2022-04-30 23:34:52+00:00,calon capres spt gak wkt utk sedih liat dukung yg militanrasis spt yg gak ambil pusing laku dukung,jakarta,neutral
46,2022-11-29 15:51:50+00:00,panjenengan layak presiden ganti jokowi, jakarta,positive
47,2022-02-25 09:33:00+00:00,hahaha model gin caprespusing gueayo pimpin negeri inijangan undur pilpres,malang,negative
48,2023-01-31 18:35:43+00:00,arahanya suruh dukung puan pilih ganjar yg incer tum banteng kalo capres ganjar itumah hoax bayar oligarki monyet,bandung,negative
49,2022-03-29 21:45:33+00:00,ganjar pranowo layak presiden ganti jokowi rendah hati jumawa,jakarta ,positive
50,2022-05-31 16:34:48+00:00,bagus king maker kayak megawati menang jabat megawati borong plus gelar profesor hc dibuli capres sejati ya,malang,negative
51,2022-03-30 23:29:22+00:00,tuju dg tunda milu periode,bandung,neutral
52,2022-04-30 17:26:40+00:00,mantap presiden ri partai,bogor,positive
53,2022-01-31 23:11:03+00:00,assalamkm tri hormat prihatin dgn yg edi mulyadi harapagar kpd bpk presiden panggil edi mulyadi selesai adat,bandung,neutral
54,2022-01-31 16:47:11+00:00,bang dahnil tolong prabowo fokus kerja nggak mimpi calon presiden beliau dah jgn bilang timbul tenggelam rakyat tenggelam oligarki,semarang,negative
55,2023-01-31 10:46:03+00:00,andai presiden utang indonesia sisa kasih tau trik indonesia depan maju sejahterah,bandung,neutral
56,2022-02-25 00:43:50+00:00,mantap calon presiden yg lestari budaya wayang wayang sebar baik kpd agama pademic maju ganjar calon presiden ri rakyat indonesia amp maju budaya ku,jakarta,positive
57,2023-01-29 03:25:03+00:00,min jokowi udah selesai dgn periode jabat narasi hoax fitnah nkebencianmu tiap twitmu sebenernya sih ngangkat prestasi junjung itu kalo saing dgn,jakarta,negative
58,2023-01-26 06:02:25+00:00,alhamdulillah moga kuat mudah lancar menang pilpres,bandung,positive
59,2022-12-31 05:02:27+00:00,mundur milu laksana sistem proporsional tutup nama mundur demokrasi,jakarta,neutral
60,2022-08-31 07:54:57+00:00,gus muhaimin pimpin muda lokal interlokal enerjik dinamis yg butuh tokoh pimpin lintas selesai sensitif,surabaya,positive
61,2022-02-28 11:38:25+00:00,endonesah salah giodbener wacana milu undur ama jokowi periode,surabaya,negative
62,2022-02-28 23:57:57+00:00,spy guna apbn ugal ugalan atur ubah spy pilpres menang umum malam,surabaya,neutral
63,2022-06-15 19:52:23+00:00,parpol sadar daya rusak polarisasi,bandung,neutral
64,2022-07-25 03:53:45+00:00,sukses pilpres doa ganjar menang pilpes moga jalan lancar,jakarta,positive
65,2022-11-26 08:50:48+00:00,merinding yaaa bismillah kawal pilpres politik identitas, jakarta,positive
66,2022-03-31 11:22:06+00:00,elektabilitas joko widodo unggul nama nama calon peluang kontestasi pilih presiden pilpres hasil survei lembaga polmatrix baru survei jokowi tinggi raih persen,semarang,neutral
67,2022-03-19 16:16:36+00:00,rakyat tokoh masyarakat awal milu pilpres siap siaga junjung awal demokrasi konstitusi yg begal sikat,semarang,neutral
68,2022-01-27 07:49:05+00:00,turun miskin jawa jasa kerja makmur warga salah dgn bangun rumah sehat layak huni tuju dgn pikir capres,jakarta ,positive
69,2022-03-23 09:47:06+00:00,tolak prinsip hendak bangsa bangsa sepakat jabat presiden maksimal periode periode,surabaya,neutral
70,2022-07-31 20:32:44+00:00,nampol mas kena skak nih kadrun muslim nkri senang politik identitas politik yg nyata rusak satu kadrun salah opini krn muslim nkri patok syarat mampu kerja bg calon pimpin kaca pd bijak dki anies gak layak jd presiden,depok,negative
71,2022-02-28 02:56:54+00:00,tuju adl bgmn pilpres jg ditundaampjabatan presiden panjang proses milu yg legalampberujung jegal calon presiden yg bendung elektabilitasamppopularitasnya utk tampil panggung pilih presiden mudah tebak koq,surabaya,neutral
72,2022-04-25 14:32:27+00:00,prabowo beda fadli zong prabowo menteri mantan capres indonesia zong jubir teroris,tangerang,negative
73,2022-03-30 04:41:01+00:00,sekjen buka opsi pasang capres cawapres tuju wacana, semarang,neutral
74,2022-03-19 17:09:53+00:00,jalan dgn undur pilpres knp atur kes buru buru revisi,surabaya,neutral
75,2022-06-24 10:07:52+00:00,moga pilpres politik identitas ancam satu bangsa,semarang,positive
76,2022-01-31 06:50:30+00:00,harap perintah pimpin jokowi jatuh pilpres tinggal sebentar jago mu menang milu,surabaya,neutral
77,2022-06-26 13:56:28+00:00,tengah polarisasi yg dampak pilpres amp kontestasi yg dtng waras bijak dlm telaah informasi objektivitas landas sikap lanjur fanatik yoklah rangin moga tdk mudah provokasi,malang,positive
78,2022-05-31 11:38:27+00:00,dukung bpk presiden ri amat jendral andika tetap presiden ri istri istri presiden presiden nya tampil utama tutup kepala mohon maklum tks,jakarta,neutral
79,2023-01-31 04:51:55+00:00,nama jg lg usahacari makan kerja ngga keahliankecuali jual hoax,bandung,negative
80,2022-07-29 07:08:37+00:00,beliau tanggung sbg gub jateng nunggu jd presiden yg pilpresnya ajah jalan yg kena aspal m tp bulan gelombang lg truk muat gali hilir mudik ga libur mulus,semarang,negative
81,2022-12-31 11:08:44+00:00,mui ga bs jd presiden ntarnya baptis jga ga,jakarta,negative
82,2022-01-31 16:25:49+00:00,oh partai dukung capres ora menang, surabaya,negative
83,2022-01-30 06:57:27+00:00,terima kasih pulau dewata sambut ramah nya rawan dpp dpw dpc saga indonesia mari gass pool dukung sbg presiden pilih ganjar,bandung,positive
84,2022-01-24 22:40:26+00:00,pilpres hoax ampujaran benci penuh medsos perintah biarkanlamban tangan gelinding spt bola salju sbg pimpin rakyat presiden tunjuk sikap dgn bicara tdk serah kpd tegak hukum,jakarta,neutral
85,2022-09-28 15:46:48+00:00,cocok nih pasang laju pilpres moga milik visi misi maju bangsa damai toleransi,tangerang,positive
86,2022-11-30 06:00:48+00:00,aniesbaswedan nnti presiden ya mstii bawa negeri maju jauh kkn,jakarta,positive
87,2022-01-31 07:18:09+00:00,sayang kayak gin gak bubar butuh,jakarta,neutral
88,2022-07-29 04:10:39+00:00,udah jd presiden silat yg presiden capres gagal maning,jakarta,negative
89,2022-09-30 03:43:26+00:00,moga jahat struktur masif sistematis pilpres ulang anies baswedan aamiin yaa robbal aalamiin,jakarta,positive
90,2022-03-31 17:01:09+00:00,presiden bukti kualitas hebat pimpin negeri onward suka suka realitanya,jakarta ,positive
91,2022-02-28 10:15:15+00:00,obok bangsa ngerti,jakarta,neutral
92,2022-05-31 04:00:56+00:00,biarin aja maju kalo kalah bantu presiden nya beliau bantu nya,tangerang,negative
93,2022-02-28 08:11:49+00:00,salah anies baswedan minyak goreng langka atas milu tunda dana beli migor murah rakyat ahiw,tangerang,negative
94,2022-08-30 03:41:25+00:00,moga real pilpres utk unggul amin,jakarta ,positive
95,2022-02-27 14:31:01+00:00,anying presiden ngpa tag,bandung,negative
96,2022-10-31 13:06:47+00:00,hati bnyk kadrun samar jd rawan dgn tuju adu domba tum pdip mega dgn presiden ganjar sprti krn andil pdip jd biar alir sprt air mana bpk lang hny dgn adu domba wan toa bin kibul capai tuju,jakarta,negative
97,2022-02-26 13:30:13+00:00,bukti rakyat enga tuju milu tunda krn survei litbang kompas milu gelar parpol yg pilih yg pilih yg pilih tunjuk rakyat milu gelar thn tunda,bandung,neutral
98,2022-02-28 19:03:30+00:00,ogaaahpake banget capres rekrut jd rawan voter rawan,jakarta ,negative
99,2022-06-22 17:29:39+00:00,yups pilpres pilih pasang terpa orang bingung pasang kontroversial,bandung,neutral
100,2022-02-28 04:57:55+00:00,kl emg bner sprti ituknp ahaye ngotot pngn jd presiden,bandung,neutral
101,2022-07-26 11:31:36+00:00,klu tdk suka nggak pilih ngapain jg larang orang jd capres pasang foto sj nggak berani larang orang,jakarta,neutral
102,2022-01-27 03:07:04+00:00,ganjar yg hormat dukung presiden,yogyakarta,positive
103,2022-07-31 14:05:24+00:00,presidential threshold jadi demokrasi kt mnjdi demokrasi kriminal demokrasi jual beli perahu demokrasi yg kuat uang utk menang kompetisi pilpres amp wapres selamatkann indonesia oligarki,jakarta,neutral
104,2022-02-27 06:51:12+00:00,wajar usul tunda pilpres cabut tolak luas sekjend pdip tegas sikap pdip yg tolak milu diundurpemerintahampkpuampdpr jg putus pilpres pd focus siap pilpres berkwalitas, jakarta,neutral
105,2022-04-30 09:56:38+00:00,dukung ganjar presiden, bandung,positive
106,2022-02-27 15:04:13+00:00,giring mh udh gitu kmren bg msh ken jokowi jdi presiden rakyat ken tu jokowi mundur, jakarta,neutral
107,2022-08-28 04:23:50+00:00,elektabilitas ganjar anies atas usung capres parpol,malang,positive
108,2021-03-15 13:35:26+00:00,tengah ketidakpastian lemah tega hukum milu kerja berat moga milu dgn problem yg muncul jadi ajar utk,jakarta,neutral
