datetime,location,label,text_clean
2022-06-21 13:44:06+00:00,"Surabaya, Jawa Timur",positive,segenap jajaran kpu takalar mengucapkan selamat hari ulang tahun ke bapak ir h joko widodo presiden republik indonesia  semoga sehat dan tetap amanah dalam memimpin bangsa indonesia
2022-06-13 13:00:16+00:00,Bekasi,positive,tinggal hitungan jam  tahapan pemilu  akan segera dimulai bismillah semoga selalu diberi kemudahan  kelancaran dan kesehatan dalam melaksanakan tugas kedepannya
2022-06-22 04:50:59+00:00,"Jakarta Pusat, DKI Jakarta",positive,proses tahapan pemilu serentak  semoga koordinasi dapat berjalan dengan baik serta lancar dan pemilu serentak  berjalan dengan aman dan tentram
2022-06-30 23:43:10+00:00,Bandung,positive,news mantaps pak anies baswedan  semakin banyak mata terbuka dan mengapresiasi kinerja beliau semoga pak anies terus berkibar maju sebagai capres dan terpilih dlm pilpres
2022-06-29 12:22:52+00:00,"Jakarta Selatan, DKI Jakarta",positive,pak  selalu didamba oleh id untuk menjadi salah satu kandidat yang ikut kontestansi pilpres sosok komplit dan diyakini tahu persis visi jokowi untuk nkri lawan debat yang berat bagi capres lain semoga banyak dukungan dan beliau berkenan untuk turun gelanggang
2022-06-29 02:19:25+00:00,Jakarta,positive,masih dalam proses pencalonan min mohon doanya ya semoga pilpres bsk lancar jaya
2022-06-28 17:53:07+00:00,Bekasi,positive,betapa hebat presiden indonesia bpk joko widodo  semoga pilpres thn  memilih presiden yg baru kemampuan spt beliau
2022-06-27 09:35:21+00:00,Tangerang,positive,dumdum  semoga pak anies diberi kelancaran di pilpres  menjadi presiden ri amiin
2022-07-30 16:40:05+00:00,Bandung,positive,mantapp sangat setuju semoga terwujud dan sukses selalu bunda hj khofifah ip jadi calon pilpres   
2022-07-30 12:20:19+00:00,Yogyakarta,positive,pasangan pilpres  yg akan membawa indonesia maju jaya makmur amp berkeadilan   satukan visi misi untuk generasi anak bangsa   semoga mendapat umur yg barakah
2022-07-30 04:44:35+00:00,"DKI Jakarta, Indonesia",positive,semoga bisa sama samawa dlam pilpres 
2022-07-30 04:36:52+00:00,"DKI Jakarta, Indonesia",positive,semoga tahun ini lebih baik dari tahun kemaren  sebagai tahun politik menuju pilpres dan pileg
2022-07-27 23:28:57+00:00,"Depok, Jawa Barat",positive,idha masya alloh  semoga berjalan lancar dan sukses menjadi pemimpin nkri di pilpres aamiin
2022-07-26 15:13:19+00:00,Bandung,positive,sy sangat berharap  maju pada pilpres  bersama prabowo tni semakin tangguh dan menuju mandiri dlm industri alutsista semoga beliau terpilih jd presiden agar indonesia bisa mandiri dalam bidang ekonomi karena visi misi beliau indonesia suasembada pangan
2022-07-26 00:10:28+00:00,Malang,positive,ia semoga pilpres  mendatang rakyat sudah semakin cerdas memilih siapa yh patut di pilih nya jgn salah pilih partai yg ini
2022-07-24 16:34:27+00:00,Jakarta,positive,semoga beliau betul mempersiapkan diri merancangmenelisikmenganalisamengkalkulasi bersama ahli dan siap mengeksekusi segala kebijakan baik untuk bangsa kala berkontestasi dlm pilpres
2022-07-24 14:42:14+00:00,"Surabaya, Jawa Timur",positive,semoga makin membuka mata elite pdipbahwa kadernya memang disukai oleh  rakyat  dan layak untuk dimajukan dalam pilpres
2022-07-21 02:00:01+00:00,Malang,positive,kayaknya beneran jadi maju ke pilpres  ya beliau ini semoga ajaa yaa kami sebagai rakyat pasti mendukung mega usung puan
2022-07-27 05:17:02+00:00,Surabaya,positive,istighotsah terus dilakukan demi kelancaran pak ganjar pranowo dalam pilpres  yg akan datang
2022-08-30 00:22:47+00:00,Jakarta,positive,pak ganjar merupakan sosok yang baik dan merakyat semoga jalannya mulus menuju pilpres
2022-08-29 04:00:58+00:00,"Kota Tangerang, Banten",positive,didu pandemik covid  telah reda  semoga tidak ada lagi pandemik atau musibah besar lainnya yg melanda global regional  pilpres  telah ada capres dari nasdem  anies baswedan  ganjar pranowo   mungkin anda telah tahu siapa yg akan terpilih jadi presiden
2022-08-24 11:58:22+00:00,"Bogor, Indonesia",positive,semoga tdk benar bhw akan ada kelompok yg menggunakan politik identitas pada pilpres  nanti  semoga benar tiap kelompok mempromosikan kehebatan pemikiran dan rencana langkah strategis untuk menjadikan negara indonesia sbg negara yg aman masyarakatnya adil dan sejahtera
2022-08-23 09:20:57+00:00,"DKI Jakarta, Indonesia",positive,jagoan saya di pilpres  semoga mnjadi jagoan kita semua
2022-09-30 19:51:07+00:00,Jakarta Capital Region,positive,alhamdulillah para relawan anies baswedan pasti akan sangat senang dapat dukungan dr saudi arabia unt baswedan maju pilpres kabulkan yaa mujib basailiin niatan kami  semoga kami tidak lg salah memilih pemimpin
2022-09-30 07:40:27+00:00,Jakarta,positive,semoga presiden terpilih pada pilpres  nanti adalah orang yang bisa menghentikan kerusakan rejim sebelumnya dan bisa segera melakukan langkah koreksi saya yakin prof anies baswedan tokoh yang tepat untuk melakukan itu
2022-09-28 15:46:48+00:00,tangerang,positive,cocok nih pasangan buat melaju ke pilpres semoga masingmasing memiliki satu visi dan misi yaitu memajukan bangsa dengan damai dan saling toleransi satu sama lain  ri
2022-09-24 22:14:59+00:00,"Bogor, Jawa Barat",positive,tokoh tokoh lain semoga segera merapat untuk bersama beliau beliau sedini mungkin menyusun strategi untuk memenangkan pilpres
2022-09-27 12:43:58+00:00,Bandung,positive,semoga allah swt memberikan kemudahan dan kelancaran bpk  dlm ajang pilpres  aamiin ya robbal aalamiin
2022-11-29 03:13:21+00:00,Surabaya,positive,saya selalu berdoa semoga pak prabowo diberi kesehatan dan apa pun yang diinginkan dan citacitakan tercapai apalagi untuk pilpres  selalu sukses kata jeka mending prabowo  dekade
2022-11-27 12:41:56+00:00,"DKI Jakarta, Indonesia",positive,barangkali inilah salah satu dari adanya rakyat memilih secara langsung atas pilpres dkk semoga hak rakyat ini tetap ada terus di nkri
2022-11-25 10:54:07+00:00,"Semarang, Jawa Tengah",positive,semoga di pilpres  muncul presiden baru yang bisa membawa indonesia keluar dari era keterpurukan ini
2022-11-30 04:43:49+00:00,"Bogor, Jawa Barat",positive,semoga pa listyo selalu tabah dan terus menegakkan hukum tanpa pandang bulu terutama agar polri selalu sigap menjelang pilpres  dan mengawal pembangunan ikn
2022-11-24 07:02:32+00:00,Jakarta,positive,simbol dukungan kepada ericj di pilpres  semoga makin kaya terus  menteri andalan
2022-11-24 07:06:41+00:00,"Yogyakarta, Indonesia",positive,sukaaaak banget liat dua tokoh yang dicintai rakyat karena kinerjanya  pasangan capres cawapres idola  dan  makin top semoga dimudahkan untuk maju di pilpres
2022-11-24 07:00:00+00:00,"Jakarta Pusat, DKI Jakarta",positive,wah baunya pak  mendapat restu presiden jokowi menuju pilpres   soalnya pak et menjadi orng yg dipercaya utk ketuai acara mas kaesang semoga kita sgera dpt kabar yg baik aamiin menteri andalan
2022-11-23 04:59:50+00:00,Semarang - Jawa Tengah,positive,jokowi luar biasa saat pilpres beliau kalah di cianjur namun perhatian jokowi ke cianjur tak luntur saat gempa menghantam cianjur hingga hancur jokowi segera dtg membantu menguatkan amp menghibur semoga beliau selalu sehat amp selamat dunia akhirat
2022-12-30 01:49:14+00:00,"Jakarta, Indonesia",positive,sabar banget ya pemimpin inisemoga pak ganjar benar benar bisa memenangkan pilpres tahun depan
2022-12-29 06:22:29+00:00,"DKI Jakarta, Indonesia",positive,semoga  nanti kancah perpolitikan indonesia bisa semakin teduh teduh dalam bersikapteduh dalam menyampaikan pendapattidak provokasi jadikan ajang kontestasi pilpres  yang melahirkan generasi anak bangsa yang tangguh cepat dalam bertindak visioner demi indonesia hebat
2022-12-26 13:16:50+00:00,Bandung,positive,semoga dg doa para santri dengan barokah nya agar jalan menuju pilpres lebih mudah dan mendapatkan kemenangan aamiin
2023-01-30 13:38:50+00:00,Jakarta,positive,alhamdulillah allahuakbar semoga allah menangkan anis baswedan secara presiden ri di pilpres  aamiin
2023-01-29 12:40:45+00:00,"Jakarta, DKI",positive,pak ganjar juga sehat sehat terus yaa pak semoga bisa maju ke pilpres pak
2023-01-28 08:33:38+00:00,Bandung,positive,beliau bakalan maju terus nih semoga bisa sukses di pilpres pak
2023-01-26 09:54:23+00:00,Yogyakarta,neutral,polarisasi pilpres sepertinya akan semakin keras mungkin bisa brutal perang antar pendukung semoga kita punya kesadaran untuk tidak berlebihan menjadi pendukung yang wajar saja
2023-01-26 06:02:25+00:00,Bandung,positive,alhamdulillah semoga diberikan kekuatan  kemudahan dan kelancaran dan kemenangan dalam pilpres  nanti
2022-01-31 09:50:45+00:00,Bandung,positive,baru ini sosok penerus bapak joko widodo  semoga pilpres  menjadi presiden ke pengganti bapak joko widodo  bersikan indonesia dari mental korupsi  kerja kerja kerja
2022-01-28 04:44:26+00:00,Surabaya,positive,semoga nanti mendekati pilpres elektabilitas kang emil semakin meningkat yess
2022-01-25 14:07:25+00:00,Jakarta,positive,  hanya mengingatkan  berbagi   semoga kerusuhan yang sama tidak terulang pada pilpres tahun  dan ingat selalu persatuan indonesia   world  dari pinggiran south  
2022-01-25 07:21:09+00:00,Tangerang,positive,semoga pilpres dan pilkada berurutan ini memperkuat sistem presidensiil aamiin
2022-01-24 12:24:19+00:00,"Depok, Jawa Barat",positive,semoga di pilpres  indonesia bisa memilih yg terbaik dari yang baik itu saja harapan saya
2022-02-26 08:08:22+00:00,Bogor,positive,jsp semoga pileg pilpres dan pilkada serentak tahun hemat biaya
2022-02-24 16:47:23+00:00,"Tangerang, Banten",positive,semoga pemilu jangan di undur tetap di laksankan dan juga wajah pilpres yang fresh dan semoga  kita jangan sampai di phpin lagi
2022-02-24 06:36:50+00:00,"Jakarta, Indonesia",positive,ganesha padahal saya sangat yakin dgn pengalaman giring dalam memimpin semoga bisa mencalonkan diri di pilpres selanjutnya 
2022-02-22 14:45:14+00:00,Jakarta,positive,semoga pak et selalu sehat berkat transformasi di tubuh bumn laba bumn semakin meningkat terus sejak jadi menteri bumn dan eektabilitas pak et juga semakin meningkat menuju pilpres  laba naik elektabilitas naik
2022-03-31 01:50:32+00:00,"Bogor, Indonesia",positive,relawan untuk  semakin bertambah memberikan dukungansemoga saja ini jafi sebuah doa dari masyarakat untuk menguatkan dukungan di pilpres
2022-03-25 12:05:31+00:00,"Semarang, Jawa Tengah",positive,banyak sekarang comunitas bersemangat menyambut pilpres di  semoga semankin banyak komunitas seperti ini di setiap daerah terus menduku penuh kemajuan cak imin di
2022-04-24 21:10:35+00:00,Semarang,positive,santia  dukungan untuk ridwan kamil smakin banyaksemoga jd sinyal positiv untuk maju d pilpres
2022-04-21 08:01:00+00:00,Jakarta,positive,semoga ke depan kita terus memilih untuk berkontribusi  bagi negeri ini pilpres
2022-04-21 08:00:02+00:00,Bandung Jawa barat ,positive,semoga keunggulan di simulasi sesuai dengan keunggulan di pilpres  maju terus pak pilpres
2022-04-21 08:00:02+00:00,"Depok, Indonesia",positive,wah keren banget semoga indonesia bisa lebih terlindungi dengan ciptaan baru ini  pilpres
2022-05-30 15:21:51+00:00,Jakarta,positive,official semoga negara kita ga jatuh ke tangan yg salah lg semoga pilpres besok benar pilihan rakyat nyata bkn rakyat goib sy awam politik tp sy ikut merasakan imbas dr pemerintahan oligarki
2022-05-25 14:26:34+00:00,Jakarta,positive,kenangan pilpres  kemarenbuat intropeksi flasback kebelakangjngan smpai pilpres  di tipu lagi model orang kayak beginisemoga  indonesia mpunyai presiden yang cerdas punya ilmu intelektua yng tingi
2022-05-28 04:52:28+00:00,"Banten, Indonesia",positive,ahy semoga pada waktu pilpres aniesahy memperoleh suara diatas  bila dilakukan secara jujuradiltransparan  inshaallah
2022-05-28 01:02:15+00:00,Yogyakarta,positive,semoga pilpres  berlangsung jujur bersih dari kecurangan walaupun agak mustahil tapi tak ada salahnya berharap
2022-01-31 12:43:27+00:00,"Bogor, Jawa Barat",positive,maju terus pak anies semoga tidak hanya jakarta yg merasakan kepemimpinan bapak indonesia dan dunia menanti
2022-01-27 03:07:04+00:00,Jogjakarta,positive,pak ganjar yg terhormat saya mendukung bapak sebagai presiden
2022-01-27 05:17:46+00:00,"Kota Surabaya, Jawa Timur",positive,karena emang kinerjanya pak  sebagai menteri bumn terlihat luar biasa dgn berbagai gebrakan yg keren jadi gak salah juga jika beliau masuk di daftar capres  apalagi jika bisa berpasangan dgn mr white  wah lebih keren lagi tuh
2022-01-24 22:40:26+00:00,Jakarta,positive,makin dekat pilpres  makin banyak hoax ampujaran kebencian memenuhi medsos jika pemerintah terus biarkanlamban menanganinya akan menggelinding spt bola salju sbg pemimpin rakyat presiden  perlu tunjukkan sikap tegas dgn bicara tdk cukup serahkan kpd penegak hukum
2022-05-31 15:04:16+00:00,Bandung,positive,masyaallah  tugas pak  tinggal membenahi negara ini supaya tidak carut marut bismillah pak anies baswedan next president of ri 
2022-05-31 14:01:52+00:00,"Banten, Indonesia",positive,jujur gw bangga jadi anak free york terima kasih pak    telah membangun tanah tumpah darah ku semoga allah ridho menjadikan mu sebagai presiden di negeri indonesia raya aamiin allahumma aamiin 
2022-05-18 23:35:51+00:00,Jakarta Capital Region,positive,merupakan tanggung jawab kita bersama untuk mensukseskan pemilu  yang sehat bebas korupsi dan berintegritas  selamat untuk pimpinan kpk atas gagasannya
2022-05-13 14:24:40+00:00,"Tangerang, Banten",positive,mari kita bersamasama memperkuat persatuan untuk melanjutkan berbagai program pembangunan  menuju indonesia yang lebih makmur dan lebih maju
2022-06-30 07:54:01+00:00,"DKI Jakarta, Indonesia",positive,bersama  restorasi indonesia capres berintegritas penuh prestasi
2022-06-30 01:23:08+00:00,Jakarta,positive,mengkritik boleh bebas  tp jangan debat antar pendukung berlebihan pemilu masih lama dan bagi rakyat biasa ga ada gunanya  membela berlebihan yg di atas duduk bersama ngopi bareng lebih baik semangat mencari bekerja untuk keluarga
2022-06-28 15:14:58+00:00,Jakarta,positive,hebat bpk petani ini boten egois tidak minta harta apa pun untuk dirinya sendiri  tetapi minta penyaluran air yg bermanfaat untuk sesamanya  maju terus bpk   insyaallah jadi penerus bpk presiden
2022-06-28 10:24:53+00:00,"Malang, Jawa Timur",positive,semoga  pak ganjar bisa jadi presiden pasti  saya dan teman teman dan rakyat yg lain  sgt senang semangat nggeh pak
2022-06-23 05:59:01+00:00,Bandung,positive,hal ini sejalan dengan arahan presiden joko widodo agar semua jajarannya dpt memberikan dukungan sepenuhnya terutama terkait anggaran personel amp juga logistik kepemiluan untuk memastikan  berjalan baik dan berkualitas  terus mendengar aspirasi rakyat
2022-06-15 19:52:33+00:00,Bandung,positive,politik identitas harus hilang di pemilu
2022-07-31 03:56:29+00:00,Malang-Jagatara,neutral,prianton  setiawan sep  tapi untuk pilihan kita lihat saja kontestasi ya nanti semoga yang amanat yang menang saya malah jagoin orang yang ga akan mau jadi presiden pak gita wirjawan
2022-07-31 23:46:23+00:00,Jakarta Selatan,positive,selama calon pemimpin itu tunduk dan patuh pada aturan allah subhaanahu wa taalasaya pasti dukung dan pilih diasiapapun orangnya
2022-07-30 01:42:17+00:00,"Depok, Jawa Barat",positive,tanggapi fx rudy bawa foto dirinya ke gunung sinai didoakan mosok tidak diamini aye mah  langsung aminin pak insyaallah dengan ijin allah swt bapak jdi presiden di  ini aamiin yra  klik untuk baca
2022-08-31 10:49:07+00:00,Surabaya,positive,harapan besar dari indonesia timur kepada pak  apabila  jadi presiden ri pendidikan yang utama untuk meraih masa depan mari deklarasi beliau presiden ri
2022-08-31 18:11:55+00:00,"Semarang, Jawa Tengah",positive,pak ganjar calon presiden yg merakyat inovatif berwawasan luas motivator hebat pokoknya jos gandos buat indonesia mudahan pdip nggak paksakan puan tapi calonkan pak ganjar pasti menang
2022-08-31 00:35:32+00:00,Bandung,positive,pasangan ideal pada pilpres  bapak  dengan bapak   semoga allah swt mumudahkan prosesnya dan menjadikan kedua tokoh ini menjadi pemimpin terbaik indonesia mendatang
2022-08-29 23:12:44+00:00,"DKI Jakarta, Indonesia",positive,dari sisi komunikasi politikekonomi sosial dan budaya hrus dimatangkan baik ditingkat global nasional dan lokalitas   fenomena  presiden   menggema krn masyarakat bisa menilai mana yg mampu dan yg ngak mampu menjadi membangun bangsa dan negara anis bisa
2022-09-30 08:16:45+00:00,DKI Jakarta,negative,asmara   hanya pemimpin tolol yg punya tujuan membangun infrastruktur presiden itu membangun bangsa membangun rakyatnya membangun negaranya kalau bangun infrastruktur ada uang beres tapi membangun rakyat perlu pemimpin yg cerdas bukan sederhana merakyat dan keluyuran tanpa solusi
2022-09-30 04:50:47+00:00,"Yogyakarta, Indonesia",positive,perjuangan gpp monggo krn gak ada yang melanggar aturan masih dalam keaadaaan biasa aja apalagi pemilu masih lama dan kita tak tahu kedepan dinamika politik seperti apa jd tetap berpikir positif dan berbaik sangka kepada siapapun karena yang ada di republik ini adlh putra terbaik bgsa kt
2022-10-31 10:30:02+00:00,"Jakarta Capital Region, Indone",positive,bukan capres boneka mandiri dan merdeka  bravo pak anies
2022-10-30 09:26:19+00:00,Tangerang,positive,jika pakar yg berbicara pasti benar mengerti visi dan arah kepemimpinan bangsa yg baik dan tepat ke masa depan jangan pernah ragu memilih dan mendukung  capres ri  melanjutkan kebijakan dan pembangunan presiden  
2022-10-30 06:03:21+00:00,Bandung,positive,orang pintar pasti banyak belajar jadilah orang baik juga dermawan saya dukung capres pak ganjar berpasangan cawapres pak ridwan  pasangan ideal untuk kemajuan kesejahteraan dan kejayaan indonesia adalah pak ganjar  dan pak ridwan  
2022-10-31 23:44:25+00:00,Jakarta,positive,insyaallah pak prabowo akan jadi presiden tuk  amin
2022-10-30 04:43:45+00:00,Jakarta,positive,politik identitas dan kampanye hitam berpotensi timbulkan polarisasi politik masyarkat diimbau jaga persatuan
